date,orders,patung,omset,ongkir,total,hpp,filament_grams,filament_kg,filament_cost,ads,cs_leads,cpl,profit,chibi_orders,chibi_patung,chibi_omset,chibi_hpp,chibi_filament_grams,chibi_filament_kg,chibi_filament_cost,chibi_gross_profit,statue_orders,statue_patung,statue_omset,statue_hpp,statue_filament_grams,statue_filament_kg,statue_filament_cost,statue_gross_profit,n12,c12,f12,n15,c15,f15,sn12,sc12,sf12,sn15,sc15,sf15
2026-06-05,4,6,797000,86000,883000,272921,840,0.84,132720,130097,49,2655,393982,4,6,797000,272921,840,0.84,132720,524079,0,0,0,0,0,0.0,0,0,2,0,0,1,0,3,0,0,0,0,0,0
2026-06-06,3,3,488000,76000,564000,116980,300,0.3,47400,60877,19,3204,310143,3,3,488000,116980,300,0.3,47400,371020,0,0,0,0,0,0.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
2026-06-07,4,4,839000,67000,906000,156840,400,0.4,63200,101942,32,3186,580218,4,4,839000,156840,400,0.4,63200,682160,0,0,0,0,0,0.0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
2026-06-08,2,3,439000,57000,496000,143821,400,0.4,63200,100044,12,8337,195135,2,3,439000,143821,400,0.4,63200,295179,0,0,0,0,0,0.0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2026-06-09,2,2,329000,56000,385000,78160,200,0.2,31600,142187,31,4587,108653,2,2,329000,78160,200,0.2,31600,250840,0,0,0,0,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2026-06-10,3,3,510000,81000,591000,118020,300,0.3,47400,84709,24,3530,307271,3,3,510000,118020,300,0.3,47400,391980,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2026-06-11,3,4,598000,83000,681000,182641,500,0.5,79000,103414,50,2068,311945,3,4,598000,182641,500,0.5,79000,415359,0,0,0,0,0,0.0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
2026-06-12,4,6,877000,104000,981000,287642,800,0.8,126400,266770,76,3510,322588,4,6,877000,287642,800,0.8,126400,589358,0,0,0,0,0,0.0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
2026-06-13,6,7,1506000,162000,1668000,289620,800,0.8,126400,197010,59,3339,1019370,5,6,1257000,260280,700,0.7,110600,996720,1,1,249000,29340,100,0.1,15800,219660,1,2,0,3,0,0,0,0,0,1,0,0
2026-06-14,4,10,1285000,103000,1388000,391883,1440,1.44,227520,142156,33,4308,750961,2,3,488000,116980,300,0.3,47400,371020,2,7,797000,274903,1140,1.14,180120,522097,2,0,0,1,0,0,0,0,0,0,4,3
2026-06-15,5,6,939000,131000,1070000,241841,700,0.7,110600,48705,14,3479,648454,3,4,609000,183161,500,0.5,79000,425839,2,2,330000,58680,200,0.2,31600,271320,0,0,0,2,2,0,0,0,0,2,0,0
2026-06-16,3,4,598000,61000,659000,132641,500,0.5,79000,46965,8,5871,418394,0,0,0,0,0,0.0,0,0,3,4,598000,132641,500,0.5,79000,465359,0,0,0,0,0,0,1,0,0,1,2,0
2026-06-17,4,4,666000,113000,779000,115800,400,0.4,63200,288879,58,4981,261321,0,0,0,0,0,0.0,0,0,4,4,666000,115800,400,0.4,63200,550200,0,0,0,0,0,0,3,0,0,1,0,0
2026-06-18,7,10,1561000,206000,1767000,400803,1300,1.3,205400,224801,73,3079,935396,4,5,892000,222501,600,0.6,94800,669499,3,5,669000,178302,700,0.7,110600,490698,0,0,0,3,2,0,0,0,0,1,4,0
2026-06-19,6,17,2519000,162000,2681000,791024,2380,2.38,376040,223982,37,6054,1503994,6,17,2519000,791024,2380,2.38,376040,1727976,0,0,0,0,0,0.0,0,0,3,4,3,4,0,3,0,0,0,0,0,0
2026-06-20,6,8,1488000,150000,1638000,407921,900,0.9,142200,391931,81,4839,688148,6,8,1488000,407921,900,0.9,142200,1080079,0,0,0,0,0,0.0,0,0,3,2,0,3,0,0,0,0,0,0,0,0
2026-06-21,9,11,1801000,230000,2031000,413302,1300,1.3,205400,372554,94,3963,1015144,6,6,1099000,235000,600,0.6,94800,864000,3,5,702000,178302,700,0.7,110600,523698,2,0,0,4,0,0,0,0,0,1,4,0
2026-06-22,9,13,1937000,215000,2152000,482023,1700,1.7,268600,343247,76,4516,1111730,2,3,453000,142780,400,0.4,63200,310220,7,10,1484000,339243,1300,1.3,205400,1144757,0,2,0,1,0,0,3,0,0,1,6,0
2026-06-23,7,9,2320000,170000,2490000,374622,1100,1.1,173800,394937,103,3834,1550441,6,7,2071000,300141,800,0.8,126400,1770859,1,2,249000,74481,300,0.3,47400,174519,2,0,0,3,2,0,0,0,0,0,2,0
2026-06-24,4,5,1036000,75000,1111000,220940,600,0.6,94800,470619,119,3955,344441,4,5,1036000,220940,600,0.6,94800,815060,0,0,0,0,0,0.0,0,0,1,2,0,2,0,0,0,0,0,0,0,0
2026-06-25,10,16,2594000,265000,2859000,721124,2200,2.2,347600,564204,123,4587,1308672,8,12,2096000,572162,1600,1.6,252800,1523838,2,4,498000,148962,600,0.6,94800,349038,2,4,0,2,4,0,0,0,0,0,4,0
2026-06-26,7,7,1303000,165000,1468000,263300,700,0.7,110600,874009,150,5827,165691,6,6,1144000,234480,600,0.6,94800,909520,1,1,159000,28820,100,0.1,15800,130180,3,0,0,3,0,0,1,0,0,0,0,0
2026-06-27,10,12,2360000,271000,2631000,450560,1400,1.4,221200,821631,137,5997,1087809,5,6,1269000,260280,700,0.7,110600,1008720,5,6,1091000,190280,700,0.7,110600,900720,1,2,0,3,0,0,1,2,0,3,0,0
2026-06-28,10,16,2904000,251000,3155000,671645,2200,2.2,347600,884938,138,6413,1347417,5,8,1629000,391603,1100,1.1,173800,1237397,5,8,1275000,280042,1100,1.1,173800,994958,1,0,0,1,6,0,2,2,0,0,4,0
2026-06-29,12,19,2993000,307000,3300000,891822,2600,2.6,410800,980494,109,8995,1120684,11,17,2729000,818382,2300,2.3,363400,1910618,1,2,264000,73440,300,0.3,47400,190560,2,8,0,3,4,0,0,2,0,0,0,0
